set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
set J := 0 1 2 3 4 5 6 7 8 9 ;
param: b q := 
0  20782  70
1  24631  112
2  21832  42
3  31431  70
4  48077  140
5  46418  14
6  21533  70
7  39049  42
8  15756  112
9  21361  70
10  31047  70
11  12124  126
12  15044  56
13  34657  56
14  37526  28
15  15459  28
16  30067  56
17  21815  70
18  26025  98
19  36768  14
;
param d := 
0  99
1  81
2  69
3  51
4  54
5  96
6  71
7  51
8  52
9  79
;
param c : 0    1    2    3    4    5    6    7    8    9    :=
0   4    2    2    1    3    4    3    4    3    1   
1   3    2    1    1    1    4    2    1    1    3   
2   4    3    4    2    1    1    2    2    2    4   
3   4    1    4    3    2    3    2    1    3    4   
4   4    3    2    4    4    1    1    1    2    3   
5   1    1    2    2    3    1    4    1    4    4   
6   1    2    4    2    2    3    3    1    4    4   
7   4    4    3    1    4    4    1    1    2    2   
8   4    4    2    1    2    3    2    1    3    1   
9   3    3    2    3    3    4    3    3    2    4   
10  1    2    1    1    2    4    4    1    2    4   
11  2    2    1    4    4    3    2    3    4    3   
12  4    4    1    4    4    3    2    4    1    4   
13  2    4    3    4    1    3    2    3    2    2   
14  3    1    1    1    2    3    4    2    2    1   
15  3    2    2    2    3    1    4    2    1    1   
16  3    4    3    3    1    4    4    4    3    3   
17  1    1    4    4    1    1    1    3    1    3   
18  4    3    1    1    2    4    1    3    2    3   
19  4    2    3    3    4    2    1    2    1    4   
;
end;
