set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
param: b q := 
0  37185  240
1  17549  72
2  37212  216
3  39046  48
4  12498  72
5  21060  96
6  30011  72
7  48276  240
8  28159  96
9  22806  240
10  27256  96
11  20327  216
12  39514  168
13  30382  168
14  41348  120
15  28131  144
16  26760  144
17  39425  168
18  25076  96
19  29325  48
;
param d := 
0  63
1  63
2  55
3  98
4  70
5  99
6  50
7  56
8  52
9  68
10  54
11  91
12  82
13  91
14  87
15  54
16  89
17  84
18  59
19  58
;
param c : 0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   :=
0   4    4    2    1    2    4    2    1    2    4    1    4    2    1    3    1    4    4    3    1   
1   1    3    2    4    1    4    4    1    1    4    3    1    2    4    1    3    3    3    4    2   
2   4    1    3    1    1    3    2    3    1    1    1    4    1    1    1    3    2    4    4    4   
3   1    1    4    2    3    4    3    3    1    4    3    1    2    2    2    3    1    3    1    1   
4   4    1    3    1    3    1    2    3    1    4    1    1    3    3    2    2    3    1    2    3   
5   1    1    4    4    1    1    2    2    3    4    1    2    2    2    2    2    4    2    1    1   
6   3    3    3    2    3    2    2    1    1    4    2    4    3    1    3    3    1    1    1    1   
7   4    2    2    4    1    3    4    1    1    4    1    3    3    2    1    2    2    2    2    2   
8   4    2    3    4    4    1    3    2    4    4    3    3    4    3    4    4    3    1    4    1   
9   3    3    3    1    1    4    2    2    2    4    3    1    1    2    3    3    2    2    3    3   
10  4    1    1    2    4    2    4    3    2    1    4    3    4    1    4    2    3    2    3    1   
11  2    1    3    3    2    1    2    4    1    2    3    3    1    1    4    4    4    4    1    1   
12  2    1    2    1    3    4    2    3    4    4    2    3    1    2    1    1    1    1    3    3   
13  1    3    1    2    3    3    1    3    3    3    1    3    3    2    4    2    2    2    4    3   
14  2    4    2    1    4    4    2    3    1    1    3    4    3    2    1    1    4    2    2    2   
15  4    2    4    3    2    2    3    4    2    4    2    1    4    3    2    3    1    1    4    1   
16  3    4    1    4    2    4    1    4    3    4    1    4    3    1    4    3    4    3    3    1   
17  2    2    3    2    1    3    4    4    3    2    4    4    4    2    2    3    4    2    2    2   
18  3    3    2    1    1    3    2    3    3    3    4    3    1    2    4    3    2    4    3    4   
19  1    1    2    3    2    3    3    3    1    4    4    1    1    2    3    4    1    3    2    2   
;
end;
