set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 ;
set J := 0 1 2 3 4 5 6 7 8 9 ;
param: b q := 
0  22252  72
1  20443  18
2  32254  54
3  38178  90
4  47455  9
5  30098  18
6  39684  18
7  27814  27
8  13116  90
9  12343  9
10  43472  9
11  24463  9
12  16807  27
13  38600  18
14  27500  63
15  12198  90
16  18215  9
17  14569  81
18  14939  18
19  15088  45
20  14541  27
21  19886  45
22  14563  81
23  36696  90
24  37375  81
25  34952  27
26  29132  72
27  17296  72
28  43963  63
29  16243  36
;
param d := 
0  75
1  79
2  97
3  88
4  69
5  75
6  60
7  67
8  58
9  88
;
param c : 0    1    2    3    4    5    6    7    8    9    :=
0   1    4    1    4    3    3    4    4    3    3   
1   1    4    2    1    1    4    3    2    4    3   
2   1    2    4    1    4    3    3    2    1    2   
3   1    4    3    4    2    3    3    1    2    1   
4   1    4    2    2    3    2    2    3    4    1   
5   3    3    1    2    3    4    2    3    3    3   
6   1    3    1    1    4    1    4    4    3    1   
7   1    4    3    3    3    3    1    2    4    1   
8   3    1    4    3    4    2    2    4    2    3   
9   3    2    3    3    4    4    4    3    4    3   
10  1    3    2    1    3    4    4    3    3    2   
11  1    2    1    4    2    3    3    3    4    4   
12  3    3    1    1    4    2    2    3    2    4   
13  3    4    1    2    2    2    3    2    2    4   
14  2    3    2    4    2    4    2    1    3    1   
15  2    3    2    4    1    3    2    3    1    3   
16  3    1    1    4    3    1    4    1    1    3   
17  1    3    1    1    3    1    3    1    2    1   
18  3    3    2    3    3    4    3    2    1    2   
19  4    3    1    1    3    3    2    2    4    2   
20  3    3    3    3    3    4    1    1    2    1   
21  4    4    3    4    2    3    1    3    3    4   
22  4    4    4    2    1    3    3    2    3    2   
23  4    1    4    2    1    4    4    1    3    3   
24  1    4    1    2    4    1    4    2    2    3   
25  3    3    2    3    3    1    3    2    2    2   
26  4    2    1    1    1    4    1    4    3    2   
27  3    3    1    3    3    1    3    1    4    4   
28  4    1    1    2    2    2    2    2    2    1   
29  4    2    4    1    1    4    2    3    3    3   
;
end;
