set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 ;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
param: b q := 
0  11875  90
1  45075  18
2  15988  36
3  26464  162
4  37426  90
5  14244  108
6  20819  54
7  14977  162
8  48711  36
9  32109  126
10  20750  90
11  38017  162
12  39624  72
13  30994  108
14  15706  108
15  35155  90
16  37355  54
17  14719  162
18  27788  36
19  33624  180
20  32016  126
21  27871  36
22  18938  108
23  39550  18
24  36078  36
25  18792  162
26  21275  144
27  37536  108
28  14058  162
29  20707  72
;
param d := 
0  90
1  70
2  60
3  64
4  57
5  51
6  71
7  72
8  73
9  76
10  88
11  74
12  61
13  73
14  96
15  69
16  87
17  92
18  97
19  80
;
param c : 0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   :=
0   1    4    3    1    2    1    1    4    3    2    4    1    3    3    2    2    4    2    3    1   
1   3    2    4    3    1    3    2    1    1    3    4    3    3    3    3    2    1    4    2    3   
2   3    3    4    2    3    3    4    1    2    1    2    2    3    2    2    4    1    2    2    4   
3   1    1    2    3    4    3    2    4    3    2    2    2    4    2    3    4    4    4    2    1   
4   2    2    3    1    3    3    3    2    1    2    4    3    3    2    2    2    4    4    3    1   
5   4    2    4    2    4    1    1    4    4    2    3    1    3    2    4    1    3    1    4    4   
6   1    4    4    1    2    1    1    4    3    3    4    1    1    2    4    1    1    3    3    1   
7   3    2    4    4    2    1    2    3    1    2    2    4    1    3    1    2    3    4    3    1   
8   1    2    1    2    2    3    1    2    2    3    1    1    1    1    4    4    4    2    2    3   
9   4    4    1    2    3    1    4    1    4    1    2    1    2    1    2    1    3    1    3    1   
10  2    2    1    3    2    1    2    1    4    2    3    4    1    1    3    4    3    2    3    1   
11  3    1    2    3    3    4    2    1    1    4    4    2    4    4    2    1    2    1    1    1   
12  3    3    2    2    2    1    3    3    3    3    4    3    1    2    4    3    4    2    1    1   
13  4    4    3    4    3    2    4    1    1    3    1    1    1    2    1    1    4    2    1    3   
14  1    2    1    3    4    3    4    4    4    4    2    4    2    3    2    1    3    1    4    4   
15  2    1    3    3    2    2    2    4    4    4    1    4    4    3    4    2    3    4    3    1   
16  3    1    1    2    1    3    3    4    2    3    4    4    4    1    2    1    2    3    3    2   
17  2    1    1    4    1    4    4    3    3    1    1    2    1    1    2    4    1    3    2    3   
18  3    4    4    2    3    1    1    1    3    4    2    2    2    4    3    4    1    1    4    4   
19  3    3    3    2    1    3    3    2    4    4    4    1    1    4    3    2    1    3    4    1   
20  4    1    4    4    4    4    3    2    2    1    1    2    3    3    4    4    4    4    3    4   
21  1    4    3    4    4    2    3    1    1    2    1    3    1    3    3    2    3    2    4    1   
22  1    2    2    2    2    1    1    3    2    1    2    2    1    4    2    1    2    1    2    2   
23  3    3    4    1    4    4    2    3    3    3    4    1    1    4    4    3    4    1    4    1   
24  2    2    2    1    4    3    4    2    1    2    1    2    2    4    2    3    4    4    3    1   
25  3    1    2    4    3    1    3    1    4    4    3    1    4    2    2    2    3    3    1    4   
26  4    4    4    2    2    3    4    3    3    2    3    1    1    3    2    2    1    4    1    4   
27  2    2    1    4    2    3    1    4    1    3    3    3    3    3    3    1    2    1    2    4   
28  4    4    4    1    4    1    1    1    1    1    1    4    2    1    1    3    3    3    3    2   
29  4    3    4    4    1    4    2    1    2    3    3    3    4    3    2    1    4    1    4    2   
;
end;
